acode_index,url,country,full_date,month,name,sport,year
1030,http://services.datasport.com/2009/lauf/neerach,CCH,Sun 13.09.2009,9,Neeracher Kinder- und Jugendlauf,Running,2009
1031,http://services.datasport.com/2009/lauf/neujahrsmarathon/,CCH,Thu 01.01.2009,1,"Neujahrsmarathon Zürich, Schlieren",Running,2009
1032,http://services.datasport.com/2009/lauf/presinge,CCH,Sun 22.03.2009,3,Tour de Presinge,Running,2009
1033,http://services.datasport.com/2009/lauf/reuss,CCH,Sat 28.02.2009,2,ASICS Bremgarter Reusslauf,Running,2009
1034,http://services.datasport.com/2009/lauf/rheinfall,CCH,Sun 30.08.2009,8,"Rheinfall-Lauf, Neuhausen",Running,2009
1035,http://services.datasport.com/2009/lauf/rotsee,CCH,Sat 04.04.2009,4,"Rotseelauf, Ebikon",Running,2009
1036,http://services.datasport.com/2009/lauf/schloss,CCH,Sun 11.10.2009,10,Schlosslauf Rapperswil-Jona,Running,2009
1037,http://services.datasport.com/2009/lauf/sempach,CCH,Sat 27.06.2009,6,Hellebardenlauf Sempach,Running,2009
1038,http://services.datasport.com/2009/lauf/sihltaler,CCH,Fri 01.05.2009,5,"Sihltaler Frühlingslauf, Gattikon",Running,2009
1039,http://services.datasport.com/2009/lauf/silvester,CCH,Sun 13.12.2009,12,"Zürcher Silvesterlauf, Zürich",Running,2009
1040,http://services.datasport.com/2009/lauf/sion,CCH,Sat 12.12.2009,12,Course Titzé de noël Sion,Running,2009
1041,http://services.datasport.com/2009/lauf/sm10km09,CCH,Sat 28.03.2009,3,10km de Payerne,Running,2009
1042,http://services.datasport.com/2009/lauf/smcross,CCH,Sat 07.03.2009,3,"Schweizer Meisterschaften Cross, Welschenrohr",Running,2009
1043,http://services.datasport.com/2009/lauf/steinhlzli,CCH,Sun 06.12.2009,12,"Steinhölzlilauf, Liebefeld",Running,2009
1044,http://services.datasport.com/2009/lauf/stralugano,CCH,Sun 20.09.2009,9,"Stralugano, Lugano",Running,2009
1045,http://services.datasport.com/2009/lauf/tdcn/etape1,CCH,Wed 22.04.2009,4,BCN Tour Le Landeron,Running,2009
1046,http://services.datasport.com/2009/lauf/tdcn/etape2,CCH,Wed 29.04.2009,4,BCN Tour Couvet,Running,2009
1047,http://services.datasport.com/2009/lauf/tdcn/etape3,CCH,Wed 06.05.2009,5,BCN Tour Les Ponts-de-Martel,Running,2009
1048,http://services.datasport.com/2009/lauf/tdcn/etape4,CCH,Wed 13.05.2009,5,BCN Tour La Sagne,Running,2009
1049,http://services.datasport.com/2009/lauf/tdcn/etape5,CCH,Wed 20.05.2009,5,BCN Tour La Chaux-de-Fonds,Running,2009
1050,http://services.datasport.com/2009/lauf/tdcn/etape6,CCH,Wed 27.05.2009,5,BCN Tour Neuchâtel,Running,2009
1051,http://services.datasport.com/2009/lauf/tdpv/etape1,CCH,Wed 09.09.2009,9,Tour du Pays de Vaud etape 5 - La Sarraz,Running,2009
1052,http://services.datasport.com/2009/lauf/tdpv/etape2,CCH,Wed 19.08.2009,8,Tour du Pays de Vaud etape 2 - Genolier,Running,2009
1053,http://services.datasport.com/2009/lauf/tdpv/etape3,CCH,Wed 12.08.2009,8,Tour du Pays de Vaud etape 1 - Le Mont sur Lausanne,Running,2009
1054,http://services.datasport.com/2009/lauf/tdpv/etape4,CCH,Wed 26.08.2009,8,Tour du Pays de Vaud etape 3 - Chavornay,Running,2009
1055,http://services.datasport.com/2009/lauf/tenero,CCH,Sun 08.11.2009,11,"Maratona Ticino, Tenero",Running,2009
1056,http://services.datasport.com/2009/lauf/thunstadt,CCH,Sun 23.08.2009,8,"Thuner Stadtlauf, Thun",Running,2009
1057,http://services.datasport.com/2009/lauf/thyon,CCH,Sun 02.08.2009,8,"Course pédestre Thyon-Dixence, Thyon",Running,2009
1058,http://services.datasport.com/2009/lauf/toess,CCH,Tue 09.06.2009,6,"Töss-Stafette, Winterthur",Running,2009
1059,http://services.datasport.com/2009/lauf/tower,CCH,Sat 21.02.2009,2,"Tower-Running, Basel",Running,2009
1060,http://services.datasport.com/2009/lauf/traines,CCH,Sat 04.04.2009,4,"Les Traine-Savates, Cheseaux-sur-Lausanne",Running,2009
1061,http://services.datasport.com/2009/lauf/trotteuse,CCH,Sat 19.12.2009,12,"La Trotteuse-Tissot, La Chaux-de-Fonds",Running,2009
1062,http://services.datasport.com/2009/lauf/tunnel,CCH,Sun 26.04.2009,4,Tunnellauf Eröffnung Westumfahrung Zürich,Running,2009
1063,http://services.datasport.com/2009/lauf/verbier,CCH,Sat 04.07.2009+Sun 05.07.2009,7,"Trail Verbier Saint-Bernard, Verbier",Running,2009
1064,http://services.datasport.com/2009/lauf/wallisellen,CCH,Sun 01.11.2009,11,"Walliseller Lauf, Wallisellen",Running,2009
1065,http://services.datasport.com/2009/lauf/winterthur,CCH,Sun 24.05.2009,5,Winterthur Marathon,Running,2009
1066,http://services.datasport.com/2009/lauf/wohlen,CCH,Sat 30.05.2009,5,Pfingstlauf Wohlen AG,Running,2009
1067,http://services.datasport.com/2009/lauf/zermattmarathon,CCH,Sat 04.07.2009,7,"Zermatt Marathon, Zermatt",Running,2009
1068,http://services.datasport.com/2009/lauf/zinal,CCH,Sun 09.08.2009,8,"Sierre-Zinal, Sierre",Running,2009
1069,http://services.datasport.com/2009/lauf/zofinger,CCH,Sat 16.05.2009,5,"Zofinger Stadtlauf, Zofingen",Running,2009
1070,http://services.datasport.com/2009/lauf/zuerich,CCH,Sun 26.04.2009,4,"Zürich Marathon, Teamrun und Cityrun",Running,2009
1071,http://services.datasport.com/2009/tri/inferno,CCH,Sat 22.08.2009,8,"Inferno Halbmarathon, Mürren",Running,2009
1072,http://services.datasport.com/2009/waffenlauf/frauenfelder,CCH,Sun 15.11.2009,11,Frauenfelder,Running,2009
1073,http://services.datasport.com/2009/zkb/affoltern,CCH,Sat 12.09.2009,9,Türlerseelauf Affoltern am Albis,Running,2009
1074,http://services.datasport.com/2009/zkb/flughafen,CCH,Thu 21.05.2009,5,"Flughafenlauf, Kloten",Running,2009
1075,http://services.datasport.com/2009/zkb/gpduebendorf,CCH,Sat 04.04.2009,4,GP der Stadt Dübendorf,Running,2009
1076,http://services.datasport.com/2009/zkb/maennedorf,CCH,Sat 14.03.2009,3,Männedörfler Waldlauf,Running,2009
1077,http://services.datasport.com/2009/zkb/pfaeffiker,CCH,Sun 27.09.2009,9,"Pfäffikerseelauf, Wetzikon",Running,2009
1078,http://services.datasport.com/2009/zkb/rueti,CCH,Sat 05.09.2009,9,"Rütilauf, Rüti ZH",Running,2009
1079,http://services.datasport.com/2009/zkb/uetliberg,CCH,Sat 17.10.2009,10,"Üetliberglauf, Zürich",Running,2009
1080,http://services.datasport.com/2009/zkb/winterthur,CCH,Sat 07.03.2009,3,Laufsporttag Winterthur,Running,2009
1081,http://services.datasport.com/2009/zkb/wyland,CCH,Sat 20.06.2009,6,"Wylandlauf, Andelfingen",Running,2009
1082,http://services.datasport.com/2009/zkb/zhneujahr,CCH,Sat 10.01.2009,1,"Dietiker Neujahrslauf, Dietikon",Running,2009
1083,http://services.datasport.com/2009/zkb/zumiker,CCH,Sat 28.03.2009,3,Zumiker-Lauf,Running,2009
1084,http://services.datasport.com/2010/diverse/trophy,CCH,Sat 05.06.2010,6,"Engelbergertal Trophy, Engelberg",Running,2010
1085,http://services.datasport.com/2010/lauf/Greifenseelauf,CCH,Sat 18.09.2010,9,"Int Greifenseelauf, Uster",Running,2010
1086,http://services.datasport.com/2010/lauf/TourDuChablais/etappe1,CCH,Wed 07.04.2010,4,Tour du Chablais #1 Roche,Running,2010
1087,http://services.datasport.com/2010/lauf/TourDuChablais/etappe2,CCH,Wed 14.04.2010,4,Tour du Chablais #2 St-Gingolph,Running,2010
1088,http://services.datasport.com/2010/lauf/TourDuChablais/etappe3,CCH,Wed 21.04.2010,4,Tour du Chablais #3 Bex,Running,2010
1089,http://services.datasport.com/2010/lauf/TourDuChablais/etappe4,CCH,Wed 28.04.2010,4,Tour du Chablais #4 Yvorne,Running,2010
1090,http://services.datasport.com/2010/lauf/TourDuChablais/etappe5,CCH,Wed 05.05.2010,5,Tour du Chablais #5 Leysin,Running,2010
1091,http://services.datasport.com/2010/lauf/TourDuChablais/etappe6,CCH,Wed 12.05.2010,5,Tour du Chablais #6 Mouthey,Running,2010
1092,http://services.datasport.com/2010/lauf/YverdonNoel,CCH,Sun 28.11.2010,11,"Course de l'Avent, Yverdon",Running,2010
1093,http://services.datasport.com/2010/lauf/aegeri,CCH,Fri 23.07.2010,7,"Aegeriseelauf, Oberägeri",Running,2010
1094,http://services.datasport.com/2010/lauf/altstaeter,CCH,Sat 11.09.2010,9,Altstätter Städtlilauf,Running,2010
1095,http://services.datasport.com/2010/lauf/appenzellerlauf,CCH,Sat 05.06.2010,6,"Appenzellerlauf, Appenzell",Running,2010
1096,http://services.datasport.com/2010/lauf/arosa,CCH,Sat 09.01.2010,1,"Swiss Snow Walk & Run, Arosa",Running,2010
1097,http://services.datasport.com/2010/lauf/baden,CCH,Sat 27.03.2010,3,"Badener Limmat-Lauf, Baden",Running,2010
1098,http://services.datasport.com/2010/lauf/baldegger,CCH,Sat 05.06.2010,6,"Baldeggerseelauf, Hitzkirch",Running,2010
1099,http://services.datasport.com/2010/lauf/basel,CCH,Sat 27.11.2010,11,Basler Stadtlauf,Running,2010
1100,http://services.datasport.com/2010/lauf/biel,CCH,Thu 10.06.2010 bisSat 12.06.2010,6,"Bieler Lauftage, Biel/Bienne",Running,2010
1101,http://services.datasport.com/2010/lauf/bielercross,CCH,Sun 14.11.2010,11,"Int. Bieler Cross, Biel-Bienne",Running,2010
1102,http://services.datasport.com/2010/lauf/birslauffr,CCH,Sat 27.03.2010,3,Birslauf Basel,Running,2010
1103,http://services.datasport.com/2010/lauf/bischofszell,CCH,Sun 02.05.2010,5,"Bischofszeller Städtlilauf, Bischofszell",Running,2010
1104,http://services.datasport.com/2010/lauf/blenio,CCH,Mon 05.04.2010,4,"Giro Media Blenio, Dongio",Running,2010
1105,http://services.datasport.com/2010/lauf/bluemlisalp,CCH,Sun 30.05.2010,5,"Blüemlisalp-Lauf, Reichenbach",Running,2010
1106,http://services.datasport.com/2010/lauf/bremgarten,CCH,Sun 17.10.2010,10,"Bremgartenlauf, Bremgarten b.Bern",Running,2010
1107,http://services.datasport.com/2010/lauf/brienzer,CCH,Sun 17.10.2010,10,"Brienzerseelauf, Bönigen",Running,2010
1108,http://services.datasport.com/2010/lauf/buendner,CCH,Sat 17.04.2010,4,"Bündner Frühlingslauf, Domat / Ems",Running,2010
1109,http://services.datasport.com/2010/lauf/bueren,CCH,Sat 16.10.2010,10,"Bürenlauf, Büren an der Aare",Running,2010
1110,http://services.datasport.com/2010/lauf/burgdorf,CCH,Sat 11.09.2010,9,"Burgdorfer Stadtlauf, Burgdorf",Running,2010
1111,http://services.datasport.com/2010/lauf/burgherbst,CCH,Sat 23.10.2010,10,Herbstlauf Burgdorf,Running,2010
1112,http://services.datasport.com/2010/lauf/carouge,CCH,Sat 25.09.2010,9,A travers Carouge - Run to Run,Running,2010
1113,http://services.datasport.com/2010/lauf/chlaus,CCH,Sat 04.12.2010,12,Chlauslauf Niederrohrdorf,Running,2010
1114,http://services.datasport.com/2010/lauf/chur,CCH,Fri 11.06.2010,6,Churer Lauf Parade,Running,2010
1115,http://services.datasport.com/2010/lauf/corrida,CCH,Sat 20.11.2010,11,"Corrida Bulloise, Bulle",Running,2010
1116,http://services.datasport.com/2010/lauf/crossrun,CCH,Sun 15.08.2010,8,"crossrun, Therwil",Running,2010
1117,http://services.datasport.com/2010/lauf/crosssm,CCH,Sat 06.03.2010,3,"Championnat Suisse de Cross, St-Maurice",Running,2010
1118,http://services.datasport.com/2010/lauf/cuorsadilrein,CCH,Sun 06.06.2010,6,"La Cuorsa dil Rein, Disentis",Running,2010
1119,http://services.datasport.com/2010/lauf/defi,CCH,Sat 19.06.2010,6,"Défi Val-de-Travers, Couvet",Running,2010
1120,http://services.datasport.com/2010/lauf/derendingen,CCH,Fri 25.06.2010,6,"Derendinger Abendlauf, Derendingen",Running,2010
1121,http://services.datasport.com/2010/lauf/dreilaender,CCH,Sun 16.05.2010,5,"Dreiländer-Lauf, Basel",Running,2010
1122,http://services.datasport.com/2010/lauf/eiken,CCH,Sat 03.04.2010,4,"GP Fricktal, Eiken",Running,2010
1123,http://services.datasport.com/2010/lauf/emme,CCH,Wed 18.08.2010,8,Emmenlauf Utzenstorf,Running,2010
1124,http://services.datasport.com/2010/lauf/engadin,CCH,Sun 22.08.2010,8,"Engadiner Sommerlauf, Samedan",Running,2010
1125,http://services.datasport.com/2010/lauf/escalade,CCH,Sat 04.12.2010,12,"Course de l'Escalade, Genève",Running,2010
1126,http://services.datasport.com/2010/lauf/faido,CCH,Fri 21.05.2010,5,Faido Running Night,Running,2010
1127,http://services.datasport.com/2010/lauf/fitevent,CCH,Sun 29.08.2010,8,Run&Walk Event Rothenburg,Running,2010
1128,http://services.datasport.com/2010/lauf/flaeckelauf,CCH,Sat 15.05.2010,5,Fläckelauf Beromünster,Running,2010
1129,http://services.datasport.com/2010/lauf/frauenfeld,CCH,Sat 28.08.2010,8,Frauenfelder Stadtlauf,Running,2010
1130,http://services.datasport.com/2010/lauf/frauenfelder,CCH,Sun 21.11.2010,11,Frauenfelder,Running,2010
1131,http://services.datasport.com/2010/lauf/frauenlauf,CCH,Sun 13.06.2010,6,Schweizer Frauenlauf Bern,Running,2010
1132,http://services.datasport.com/2010/lauf/gempen,CCH,Wed 02.06.2010,6,"Gempenlauf, Dornach",Running,2010
1133,http://services.datasport.com/2010/lauf/gersau,CCH,Fri 31.12.2010,12,Silvesterlauf Gersau,Running,2010
1134,http://services.datasport.com/2010/lauf/gippingen,CCH,Fri 31.12.2010,12,Gippinger Stauseelauf,Running,2010
1135,http://services.datasport.com/2010/lauf/glacier3000,CCH,Sat 07.08.2010,8,"Glacier 3000 Run, Gstaad",Running,2010
1136,http://services.datasport.com/2010/lauf/glarus,CCH,Sat 30.10.2010,10,"Glarner Stadtlauf, Glarus",Running,2010
1137,http://services.datasport.com/2010/lauf/gletscherlauf,CCH,Sun 27.06.2010,6,"Aletsch-Halbmarathon, Bettmeralp",Running,2010
1138,http://services.datasport.com/2010/lauf/gossau,CCH,Sat 04.12.2010,12,Gossauer Weihnachtslauf,Running,2010
1139,http://services.datasport.com/2010/lauf/grmarathon,CCH,Sat 26.06.2010+Sun 27.06.2010,6,"Graubünden Marathon/Walking, Lenzerheide",Running,2010
1140,http://services.datasport.com/2010/lauf/gurten,CCH,Sun 07.11.2010,11,"Gurtenclassic, Wabern",Running,2010
1141,http://services.datasport.com/2010/lauf/hallwil,CCH,Sat 16.10.2010,10,"Hallwilerseelauf, Beinwil am See",Running,2010
1142,http://services.datasport.com/2010/lauf/jmprolog,CCH,Fri 10.09.2010,9,"Jungfrau Minirun + Minimarathon, Interlaken",Running,2010
1143,http://services.datasport.com/2010/lauf/jungfrau,CCH,Sat 11.09.2010,9,"Jungfrau-Marathon, Interlaken",Running,2010
1144,http://services.datasport.com/2010/lauf/kehrsatz,CCH,Sat 08.05.2010,5,"Chäsitzerlouf, Kehrsatz",Running,2010
1145,http://services.datasport.com/2010/lauf/kerzers,CCH,Sat 20.03.2010,3,Kerzerslauf,Running,2010
1146,http://services.datasport.com/2010/lauf/km20,CCH,Sat 24.04.2010,4,20km de Lausanne,Running,2010
1147,http://services.datasport.com/2010/lauf/kyburg,CCH,Sat 13.11.2010,11,"Kyburglauf, Kyburg",Running,2010
1148,http://services.datasport.com/2010/lauf/lamara,CCH,Sun 31.10.2010,10,Lausanne Marathon,Running,2010
1149,http://services.datasport.com/2010/lauf/langenthal,CCH,Sat 20.11.2010,11,Langenthaler Stadtlauf,Running,2010
1150,http://services.datasport.com/2010/lauf/laufen,CCH,Sun 22.08.2010,8,10-Meilen Laufen,Running,2010
1151,http://services.datasport.com/2010/lauf/lburger,CCH,Sat 29.05.2010,5,Lenzburger Lauf,Running,2010
1152,http://services.datasport.com/2010/lauf/liestal,CCH,Wed 25.08.2010,8,Liestaler Stadtlauf,Running,2010
1153,http://services.datasport.com/2010/lauf/lucernemarathon,CCH,Sun 31.10.2010,10,"Lucerne Marathon, Luzern",Running,2010
1154,http://services.datasport.com/2010/lauf/lugano,CCH,Sun 18.04.2010,4,Walking Lugano,Running,2010
1155,http://services.datasport.com/2010/lauf/luzern,CCH,Sat 24.04.2010,4,Luzerner Stadtlauf,Running,2010
1156,http://services.datasport.com/2010/lauf/maennlichen,CCH,Sun 20.06.2010,6,"Männlichen Halbmarathon, Grindelwald",Running,2010
1157,http://services.datasport.com/2010/lauf/matterhorn,CCH,Sat 21.08.2010+Sun 22.08.2010,8,"Internationaler Matterhornlauf, Zermatt",Running,2010
1158,http://services.datasport.com/2010/lauf/meyrin,CCH,Sat 27.11.2010,11,Foulées automnales de Meyrin,Running,2010
1159,http://services.datasport.com/2010/lauf/midnight,CCH,Sat 18.12.2010,12,"Christmas Midnight Run, Lausanne",Running,2010
1160,http://services.datasport.com/2010/lauf/mmc,CCH,Sat 11.09.2010,9,Mountain Marathon Cup,Running,2010
1161,http://services.datasport.com/2010/lauf/montreux,CCH,Sun 11.07.2010,7,Montreux - Les Rochers de Naye,Running,2010
1162,http://services.datasport.com/2010/lauf/morat,CCH,Sat 02.10.2010+Sun 03.10.2010,10,Morat-Fribourg,Running,2010
1163,http://services.datasport.com/2010/lauf/mountainman,CCH,Sat 21.08.2010,8,"Mountainman, Titlis-Hasliberg-Pilatus",Running,2010
1164,http://services.datasport.com/2010/lauf/muensingen,CCH,Sat 14.08.2010,8,"Münsiger-Louf, Münsingen",Running,2010
1165,http://services.datasport.com/2010/lauf/murilauf,CCH,Sun 27.06.2010,6,"Murilauf, Muri b. Bern",Running,2010
1166,http://services.datasport.com/2010/lauf/neerach,CCH,Sun 26.09.2010,9,Neeracher Kinder- und Jugendlauf,Running,2010
