,catégorie,rang,nom,an,temps
126,SH1,158.0,Mar,,1900-01-01 01:48:41.600000
127,RH,51.0,Mar,,1900-01-01 00:49:46.900000
128,RJF,5.0,Mar,,1900-01-01 01:00:52.900000
129,MH1,53.0,Mar,,1900-01-01 03:26:06.900000
130,SD1,59.0,Mar,,1900-01-01 01:59:45.300000
131,QH1,79.0,Mar,,1900-01-01 00:42:50.600000
132,QD2,54.0,Mar,,1900-01-01 00:52:34.400000
133,SD1,46.0,Mar,,1900-01-01 01:54:03.400000
134,QH1,194.0,Mar,,1900-01-01 00:54:09
135,QD3,21.0,Mar,,1900-01-01 00:51:06.300000
136,QH1,178.0,Mar,,1900-01-01 00:51:40.100000
137,RH,95.0,Mar,,1900-01-01 00:58:56.700000
138,QH4,74.0,Mar,,1900-01-01 00:54:06.800000
139,QH2,254.0,Mar,,1900-01-01 00:57:19.800000
140,SH3,397.0,Mar,,1900-01-01 02:23:20.300000
141,MH3,276.0,Mar,,1900-01-01 03:55:31.800000
142,RH,87.0,Mar,,1900-01-01 00:57:12.700000
143,K2,29.0,Mar,,1900-01-01 00:18:55.300000
144,SH2,311.0,Mar,,1900-01-01 01:44:09.400000
145,QH2,134.0,Mar,,1900-01-01 00:46:40.900000
146,MH2,101.0,Mar,,1900-01-01 03:10:42.600000
147,SH3,283.0,Mar,,1900-01-01 01:49:19.500000
148,MD2,44.0,Mar,,1900-01-01 04:00:32.300000
149,MH2,74.0,Mar,,1900-01-01 03:04:50
150,SH2,377.0,Mar,,1900-01-01 01:53:29.900000
151,SH2,146.0,Mar,,1900-01-01 01:31:39.100000
152,MD2,46.0,Mar,,1900-01-01 04:01:26.800000
153,MH2,279.0,Mar,,1900-01-01 03:41:43.500000
154,MH4,1.0,Mar,,1900-01-01 02:54:53.400000
155,QH1,122.0,Mas,,1900-01-01 00:45:11.900000
156,SH3,143.0,Mas,,1900-01-01 01:37:40.200000
157,K1,90.0,Mas,,1900-01-01 00:27:08.700000
158,SH4,135.0,Mas,,1900-01-01 01:47:51.100000
159,SH3,95.0,Mas,,1900-01-01 01:34:05.900000
160,SH4,33.0,Mas,,1900-01-01 01:34:13.600000
161,RH,14.0,Mas,,1900-01-01 00:42:58
162,MH4,138.0,Mas,,1900-01-01 04:07:04.800000
163,QD4,18.0,Mas,,1900-01-01 00:58:35.200000
164,SH1,107.0,Mas,,1900-01-01 01:37:13.900000
165,K3,94.0,Mas,,1900-01-01 00:21:09.400000
166,SD2,20.0,Mas,,1900-01-01 01:41:00.700000
167,MD1,28.0,Mas,,1900-01-01 04:52:58.900000
168,SD3,55.0,Mat,,1900-01-01 01:55:33.100000
169,SD1,65.0,Mat,,1900-01-01 02:02:53.100000
170,MH3,269.0,Mat,,1900-01-01 03:54:30.900000
171,MD4,20.0,Mat,,1900-01-01 04:46:07.500000
172,SD2,25.0,Mat,,1900-01-01 01:43:37.900000
173,QH1,95.0,Mat,,1900-01-01 00:43:54.600000
174,SD3,46.0,Mat,,1900-01-01 01:51:43.500000
175,MH3,65.0,Mat,,1900-01-01 03:17:01.500000
176,RJF,1.0,Mat,,1900-01-01 00:42:08.100000
177,QD2,60.0,Mat,,1900-01-01 00:53:11.100000
178,SH2,276.0,Mat,,1900-01-01 01:41:15.300000
179,SH2,63.0,Mat,,1900-01-01 01:24:26.500000
180,QD1,14.0,Mat,,1900-01-01 00:43:57.400000
181,QH1,11.0,Mat,,1900-01-01 00:36:20.200000
182,MD3,50.0,Mat,,1900-01-01 05:17:58.700000
183,MH4,75.0,Mat,,1900-01-01 03:44:32.200000
184,MD4,16.0,Mat,,1900-01-01 04:39:29.400000
185,K9,6.0,Mat,,1900-01-01 00:16:58.100000
186,QH3,53.0,Mat,,1900-01-01 00:43:28.900000
187,K5,9.0,Mat,,1900-01-01 00:16:50.800000
188,MH2,191.0,Mat,,1900-01-01 03:27:27.500000
189,K9,3.0,Mat,,1900-01-01 00:16:29.100000
190,SD2,121.0,Mat,,1900-01-01 02:07:48.800000
191,QH2,133.0,Mat,,1900-01-01 00:46:39
192,QH1,107.0,Mat,,1900-01-01 00:44:22.300000
193,MH4,110.0,Mat,,1900-01-01 03:57:16.800000
194,RD,28.0,Mau,,1900-01-01 01:09:02.400000
195,MH3,181.0,Mau,,1900-01-01 03:37:04.800000
196,QD3,48.0,Mau,,1900-01-01 00:56:46
197,SH3,349.0,Mau,,1900-01-01 01:58:23
198,MH2,61.0,Mau,,1900-01-01 03:01:52.900000
199,SH4,220.0,Mau,,1900-01-01 02:06:13.600000
200,RH,39.0,Mau,,1900-01-01 00:48:32.600000
201,QD1,74.0,Mau,,1900-01-01 00:53:14.200000
202,QH2,55.0,Mau,,1900-01-01 00:41:36.900000
203,MH3,92.0,Mau,,1900-01-01 03:21:38.800000
204,SH2,180.0,Mau,,1900-01-01 01:34:09.100000
205,RH,128.0,Mau,,1900-01-01 01:08:30.900000
206,SH3,268.0,Mau,,1900-01-01 01:48:04.900000
207,SD3,61.0,Mau,,1900-01-01 01:56:45
208,SH2,312.0,Max,,1900-01-01 01:44:21.100000
209,QH3,27.0,May,,1900-01-01 00:40:05.900000
210,SD3,34.0,May,,1900-01-01 01:50:01.900000
211,SD2,48.0,May,,1900-01-01 01:47:55.600000
212,SH3,168.0,May,,1900-01-01 01:40:24.500000
213,K7,20.0,May,,1900-01-01 00:19:44.600000
214,K7,23.0,May,,1900-01-01 00:20:14.800000
215,SD4,10.0,May,,1900-01-01 01:47:54.300000
216,SH1,100.0,May,,1900-01-01 01:36:17.400000
217,K6,26.0,May,,1900-01-01 00:23:47.200000
218,K3,89.0,May,,1900-01-01 00:20:48.700000
219,SH4,77.0,May,,1900-01-01 01:41:32
220,MH4,13.0,Maz,,1900-01-01 03:15:34
221,MH1,122.0,Maz,,1900-01-01 04:01:48.300000
222,SH2,14.0,Maz,,1900-01-01 01:15:08.200000
223,SH2,52.0,Maz,,1900-01-01 01:22:46.700000
224,SH2,20.0,Maz,,1900-01-01 01:16:43.500000
225,RH,164.0,Maz,,1900-01-01 01:30:01.400000
226,QH2,242.0,Maz,,1900-01-01 00:55:36.100000
227,MH3,253.0,Mc,,1900-01-01 03:50:09.800000
228,SH2,275.0,Mc,,1900-01-01 01:41:12
229,SH3,393.0,Mc,,1900-01-01 02:13:27.900000
230,SH2,130.0,Mc,,1900-01-01 01:30:26.700000
231,QH3,74.0,Meb,,1900-01-01 00:45:59.900000
232,MH3,193.0,Med,,1900-01-01 03:39:06.800000
233,K3,96.0,Med,,1900-01-01 00:21:12.900000
234,QH2,158.0,Med,,1900-01-01 00:47:47.300000
235,SH2,299.0,Mee,,1900-01-01 01:43:00.900000
236,SD2,42.0,Meh,,1900-01-01 01:46:40
237,SH2,161.0,Mei,,1900-01-01 01:33:06.800000
238,QH2,102.0,Mei,,1900-01-01 00:44:54.200000
239,MD4,6.0,Mei,,1900-01-01 04:09:50.300000
240,MH2,366.0,Mei,,1900-01-01 04:00:08.600000
241,SH2,370.0,Mei,,1900-01-01 01:51:48.500000
242,SH2,302.0,Mei,,1900-01-01 01:43:10.200000
243,QD1,129.0,Mei,,1900-01-01 01:01:52.500000
244,MH2,255.0,Mei,,1900-01-01 03:38:00.600000
245,MH2,18.0,Mei,,1900-01-01 02:46:31.100000
246,RD,32.0,Mei,,1900-01-01 01:10:05.500000
247,QD1,155.0,Mei,,1900-01-01 01:16:09.500000
248,MH4,82.0,Mei,,1900-01-01 03:49:18.800000
249,MH2,157.0,Mei,,1900-01-01 03:22:09.700000
250,MH2,419.0,Mei,,1900-01-01 04:29:55.400000
251,MH2,13.0,Mek,,1900-01-01 02:42:00.100000
252,SD2,141.0,Mel,,1900-01-01 02:49:43.800000
253,SH3,237.0,Mel,,1900-01-01 01:45:40.800000
254,K6,18.0,Mel,,1900-01-01 00:21:46.800000
255,MH2,122.0,Mel,,1900-01-01 03:15:13.100000
256,SH3,232.0,Mel,,1900-01-01 01:45:06.800000
257,MH1,11.0,Mel,,1900-01-01 02:30:42.100000
258,MH2,163.0,Men,,1900-01-01 03:23:20
259,SH2,402.0,Men,,1900-01-01 01:57:10.800000
260,QH1,126.0,Men,,1900-01-01 00:45:27.100000
261,SD1,40.0,Men,,1900-01-01 01:52:41.300000
262,SH3,25.0,Men,,1900-01-01 01:23:40.100000
263,SH4,228.0,Men,,1900-01-01 02:09:53.100000
264,QH2,154.0,Men,,1900-01-01 00:47:31.600000
265,MH1,68.0,Men,,1900-01-01 03:32:55.500000
266,RH,134.0,Men,,1900-01-01 01:09:38.700000
267,QH2,80.0,Men,,1900-01-01 00:43:23.600000
268,SD2,115.0,Men,,1900-01-01 02:06:32.100000
269,SH1,155.0,Men,,1900-01-01 01:46:24.800000
270,SH2,95.0,Men,,1900-01-01 01:28:03.800000
271,K4,9.0,Men,,1900-01-01 00:15:55.400000
272,K5,17.0,Men,,1900-01-01 00:19:20.700000
273,QD3,40.0,Men,,1900-01-01 00:55:10.900000
274,SH2,252.0,Men,,1900-01-01 01:38:59
275,MD2,10.0,Mer,,1900-01-01 03:25:53.800000
276,QD1,34.0,Mer,,1900-01-01 00:46:53.100000
277,SH3,248.0,Mer,,1900-01-01 01:46:20.600000
278,SH2,40.0,Mer,,1900-01-01 01:20:48.600000
279,SH1,56.0,Mer,,1900-01-01 01:30:23.600000
280,QD3,81.0,Mer,,1900-01-01 01:00:48.200000
281,QD1,130.0,Mer,,1900-01-01 01:02:13.500000
282,SH1,136.0,Mer,,1900-01-01 01:43:15.500000
283,QH1,188.0,Mer,,1900-01-01 00:53:09.500000
284,SH4,240.0,Mer,,1900-01-01 02:36:07.900000
285,QD2,189.0,Mer,,1900-01-01 01:14:46.500000
286,SH1,190.0,Mer,,1900-01-01 02:01:28.300000
287,QD1,52.0,Mer,,1900-01-01 00:49:05.600000
288,MH4,81.0,Mer,,1900-01-01 03:47:14.600000
289,SH3,307.0,Mer,,1900-01-01 01:51:59.800000
290,SH2,382.0,Mer,,1900-01-01 01:54:25.100000
291,QD3,42.0,Mer,,1900-01-01 00:55:30.200000
292,K8,13.0,Mer,,1900-01-01 00:18:56
293,SH3,226.0,Mer,,1900-01-01 01:44:37.400000
294,QD2,97.0,Mer,,1900-01-01 00:56:29.700000
295,SD3,112.0,Mer,,1900-01-01 02:25:38.300000
296,QH3,186.0,Mes,,1900-01-01 00:58:45.400000
297,QH4,14.0,Mes,,1900-01-01 00:44:26.300000
298,MH2,141.0,Mes,,1900-01-01 03:19:58.600000
299,SH3,204.0,Mes,,1900-01-01 01:43:07.900000
300,SH3,130.0,Mes,,1900-01-01 01:36:37
301,K3,82.0,Mes,,1900-01-01 00:20:07.200000
302,SD3,40.0,Mes,,1900-01-01 01:50:58.900000
303,QD1,5.0,Mes,,1900-01-01 00:39:21.200000
304,MH3,201.0,Met,,1900-01-01 03:40:41.300000
305,SD1,48.0,Met,,1900-01-01 01:55:01.700000
306,MH3,224.0,Met,,1900-01-01 03:44:38.500000
307,K4,24.0,Met,,1900-01-01 00:16:54.700000
308,SD1,74.0,Met,,1900-01-01 02:10:06.300000
309,SH2,122.0,Met,,1900-01-01 01:29:39.600000
310,SH2,96.0,Met,,1900-01-01 01:28:08.700000
311,SH3,2.0,Met,,1900-01-01 01:14:33.800000
312,SH2,237.0,Met,,1900-01-01 01:38:13.800000
313,SH3,273.0,Met,,1900-01-01 01:48:39.500000
314,SH1,24.0,Met,,1900-01-01 01:23:37.800000
315,SH2,3.0,Meu,,1900-01-01 01:12:22.800000
316,MD2,24.0,Meu,,1900-01-01 03:43:05.200000
317,QH2,123.0,Meu,,1900-01-01 00:45:52.800000
318,SD3,95.0,Meu,,1900-01-01 02:10:14
319,SH4,69.0,Meu,,1900-01-01 01:40:09.600000
320,QH2,54.0,Mey,,1900-01-01 00:41:22.500000
321,QH4,79.0,Mey,,1900-01-01 00:55:06.900000
322,K2,20.0,Mey,,1900-01-01 00:18:37.500000
323,MH3,308.0,Mey,,1900-01-01 04:01:13.800000
324,MH3,356.0,Mey,,1900-01-01 04:25:18
325,SH2,395.0,Mey,,1900-01-01 01:56:17.400000
326,K10,7.0,Mey,,1900-01-01 00:18:20.200000
327,MD2,32.0,Mey,,1900-01-01 03:50:39.100000
328,QD3,43.0,Mey,,1900-01-01 00:56:00.300000
329,MH3,62.0,Mey,,1900-01-01 03:15:55.800000
330,SH1,91.0,Mey,,1900-01-01 01:34:33.300000
331,SH2,394.0,Mey,,1900-01-01 01:56:14.600000
332,RH,9.0,Mey,,1900-01-01 00:40:48.500000
333,MH2,317.0,Mey,,1900-01-01 03:48:47
334,SD2,127.0,Mey,,1900-01-01 02:12:43.900000
335,QD2,65.0,Mey,,1900-01-01 00:53:36.100000
336,QH2,65.0,Mey,,1900-01-01 00:42:13
337,MH3,138.0,Mey,,1900-01-01 03:31:12.100000
338,SH3,179.0,Mey,,1900-01-01 01:41:06.500000
339,QH4,73.0,Mey,,1900-01-01 00:54:04.800000
340,RH,106.0,Mey,,1900-01-01 01:00:19.400000
341,QH2,213.0,Mey,,1900-01-01 00:52:10.500000
342,SH1,99.0,Mey,,1900-01-01 01:36:16.900000
343,SD3,41.0,Mey,,1900-01-01 01:51:09.400000
344,FH,5.0,Mey,,1900-01-01 00:53:15.200000
345,SH2,100.0,Mia,,1900-01-01 01:28:21.500000
346,SH2,301.0,Mia,,1900-01-01 01:43:06.100000
347,MH2,69.0,Mic,,1900-01-01 03:03:15
348,K2,32.0,Mic,,1900-01-01 00:18:58.100000
349,QH2,26.0,Mic,,1900-01-01 00:38:15.100000
350,SH1,74.0,Mic,,1900-01-01 01:32:24.700000
351,RD,21.0,Mic,,1900-01-01 01:02:00.400000
352,QH1,41.0,Mic,,1900-01-01 00:39:41
353,SH3,184.0,Mic,,1900-01-01 01:41:29
354,QD2,124.0,Mic,,1900-01-01 00:58:36.100000
355,SD2,12.0,Mic,,1900-01-01 01:36:28.300000
356,SH2,280.0,Mic,,1900-01-01 01:41:37.700000
357,SD2,80.0,Mic,,1900-01-01 01:58:26.700000
358,SH4,103.0,Mic,,1900-01-01 01:43:52.500000
359,SH4,171.0,Mic,,1900-01-01 01:54:34.200000
360,QH4,54.0,Mic,,1900-01-01 00:51:07.800000
361,QH1,189.0,Mic,,1900-01-01 00:53:10.700000
362,K1,76.0,Mic,,1900-01-01 00:25:08.900000
363,QH3,86.0,Mic,,1900-01-01 00:47:37.200000
364,MH4,27.0,Mic,,1900-01-01 03:24:44.800000
365,SH2,326.0,Mie,,1900-01-01 01:45:29.900000
366,K6,3.0,Mil,,1900-01-01 00:19:12.800000
367,QH2,128.0,Mil,,1900-01-01 00:46:08.300000
368,MH1,13.0,Mil,,1900-01-01 02:47:14.400000
369,RH,20.0,Mil,,1900-01-01 00:43:07.500000
370,RD,6.0,Mil,,1900-01-01 00:50:38.400000
371,K8,42.0,Mil,,1900-01-01 00:21:30.800000
372,K4,75.0,Mil,,1900-01-01 00:23:25.800000
373,SH2,131.0,Mil,,1900-01-01 01:30:32
374,SH2,426.0,Mil,,1900-01-01 02:01:26.700000
375,SH4,205.0,Mil,,1900-01-01 02:01:28.100000
376,MD2,37.0,Min,,1900-01-01 03:52:50.800000
377,SH3,395.0,Min,,1900-01-01 02:16:13.900000
378,SD3,101.0,Min,,1900-01-01 02:16:14
379,QH1,32.0,Min,,1900-01-01 00:38:52.300000
380,K4,3.0,Mir,,1900-01-01 00:15:03.800000
381,SD2,27.0,Mis,,1900-01-01 01:43:58.600000
382,QD2,183.0,Mis,,1900-01-01 01:07:19
383,MH2,290.0,Mis,,1900-01-01 03:44:10
384,SH1,44.0,Mis,,1900-01-01 01:27:43.400000
385,QD1,43.0,Mit,,1900-01-01 00:48:24.200000
386,MD3,17.0,Mit,,1900-01-01 03:47:12.400000
387,MH4,34.0,Mit,,1900-01-01 03:29:04.200000
388,SD1,91.0,Mit,,1900-01-01 02:41:39.100000
389,MH3,217.0,Mit,,1900-01-01 03:42:58.400000
390,SD2,83.0,Miv,,1900-01-01 01:58:33.900000
391,SH2,410.0,Miv,,1900-01-01 01:58:33.400000
392,SH4,8.0,Mle,,1900-01-01 01:26:05.800000
393,SD2,86.0,Moe,,1900-01-01 01:58:54.500000
394,MD3,35.0,Moe,,1900-01-01 04:21:07.200000
395,SH4,46.0,Moe,,1900-01-01 01:36:03.400000
396,RH,63.0,Moe,,1900-01-01 00:52:51.700000
397,QH2,156.0,Mog,,1900-01-01 00:47:44.500000
398,SD2,9.0,Moi,,1900-01-01 01:32:16.900000
399,MH3,13.0,Mok,,1900-01-01 02:56:00
400,K6,31.0,Mol,,1900-01-01 00:24:19.900000
401,MH4,199.0,Mol,,1900-01-01 04:57:50.400000
402,SH2,428.0,Mom,,1900-01-01 02:02:10
403,QH4,98.0,Mon,,1900-01-01 01:00:32.500000
404,K1,98.0,Mon,,1900-01-01 00:28:10.300000
405,K7,33.0,Mon,,1900-01-01 00:21:16.600000
406,K9,15.0,Mon,,1900-01-01 00:18:17
407,MH2,243.0,Mon,,1900-01-01 03:35:36.400000
408,SH3,58.0,Mon,,1900-01-01 01:29:17.400000
409,QH2,239.0,Mon,,1900-01-01 00:54:56
410,SH1,144.0,Mon,,1900-01-01 01:45:14
411,SH3,302.0,Mon,,1900-01-01 01:51:28.900000
412,QH3,188.0,Mon,,1900-01-01 00:59:03
413,SH2,362.0,Mon,,1900-01-01 01:50:56
414,QD3,85.0,Mon,,1900-01-01 01:01:42.400000
415,MH3,127.0,Mon,,1900-01-01 03:28:33.500000
416,SH2,42.0,Mon,,1900-01-01 01:21:11.600000
417,SD3,20.0,Mon,,1900-01-01 01:43:49.300000
418,SD4,8.0,Mon,,1900-01-01 01:46:02.200000
419,SH3,66.0,Mon,,1900-01-01 01:30:22.200000
420,SH2,436.0,Mon,,1900-01-01 02:06:49.700000
421,RH,100.0,Mon,,1900-01-01 00:59:41
422,QH3,135.0,Mon,,1900-01-01 00:51:05.700000
423,QH3,9.0,Moo,,1900-01-01 00:37:43.800000
424,QD3,1.0,Moo,,1900-01-01 00:39:35.600000
425,QH4,46.0,Moo,,1900-01-01 00:50:23.500000
426,SH2,200.0,Moo,,1900-01-01 01:35:35.700000
427,MH3,255.0,Mor,,1900-01-01 03:50:44.800000
428,K6,61.0,Mor,,1900-01-01 00:30:13.100000
429,SD2,31.0,Mor,,1900-01-01 01:44:57.900000
430,QD1,88.0,Mor,,1900-01-01 00:55:28.500000
431,SD1,25.0,Mor,,1900-01-01 01:46:23.900000
432,SH2,262.0,Mor,,1900-01-01 01:39:57.800000
433,SH2,215.0,Mor,,1900-01-01 01:36:36.600000
434,QD2,95.0,Mor,,1900-01-01 00:56:25.900000
435,SH2,157.0,Mor,,1900-01-01 01:32:35.300000
436,K3,99.0,Mor,,1900-01-01 00:21:40.500000
437,SH3,36.0,Mor,,1900-01-01 01:26:14.900000
438,SH2,229.0,Mor,,1900-01-01 01:37:45.900000
439,SH4,85.0,Mor,,1900-01-01 01:42:12.200000
440,QD2,153.0,Mor,,1900-01-01 01:01:36.700000
441,MD2,14.0,Mor,,1900-01-01 03:27:54.100000
442,K1,34.0,Mor,,1900-01-01 00:21:26.300000
443,K3,55.0,Mor,,1900-01-01 00:18:52.700000
444,MH2,149.0,Mor,,1900-01-01 03:20:47.200000
445,K2,71.0,Mor,,1900-01-01 00:21:09.100000
446,QD2,36.0,Mor,,1900-01-01 00:51:04
447,SH2,38.0,Mor,,1900-01-01 01:20:36
448,QD3,51.0,Mor,,1900-01-01 00:57:12.300000
449,SH2,25.0,Mor,,1900-01-01 01:17:49.100000
450,MD2,4.0,Mor,,1900-01-01 02:58:05.200000
451,QD4,33.0,Mor,,1900-01-01 01:10:31.900000
452,K1,62.0,Mor,,1900-01-01 00:23:57.700000
453,K1,22.0,Mor,,1900-01-01 00:20:34.200000
454,K2,88.0,Mor,,1900-01-01 00:23:16.400000
455,QH3,174.0,Mor,,1900-01-01 00:56:52
456,MH3,314.0,Mor,,1900-01-01 04:03:28.500000
457,MH2,384.0,Mor,,1900-01-01 04:07:14.400000
458,SH1,33.0,Mor,,1900-01-01 01:25:40.900000
459,MH4,129.0,Mor,,1900-01-01 04:05:11.500000
